year	lake	sites	habitat	size	sex	Microphallus
2000	Alexandrina	1stfence	isoetes	4.5	female	0
2000	Alexandrina	1stfence	isoetes	4.8	female	0
2000	Alexandrina	1stfence	isoetes	5.6	female	0
2000	Alexandrina	1stfence	isoetes	5.5	female	0
2000	Alexandrina	1stfence	isoetes	5.2	female	0
2000	Alexandrina	1stfence	isoetes	5.3	female	0
2000	Alexandrina	1stfence	isoetes	3.9	female	0
2000	Alexandrina	1stfence	isoetes	4.2	female	0
2000	Alexandrina	1stfence	isoetes	4.6	female	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	3.6	female	0
2000	Alexandrina	1stfence	isoetes	3.6	female	0
2000	Alexandrina	1stfence	isoetes	3.5	female	0
2000	Alexandrina	1stfence	isoetes	3.8	female	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	3.9	female	0
2000	Alexandrina	1stfence	isoetes	4.6	female	0
2000	Alexandrina	1stfence	isoetes	3.6	female	0
2000	Alexandrina	1stfence	isoetes	4.1	female	0
2000	Alexandrina	1stfence	isoetes	3.5	female	0
2000	Alexandrina	1stfence	isoetes	3.2	female	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	5.5	female	0
2000	Alexandrina	1stfence	isoetes	5.5	male	0
2000	Alexandrina	1stfence	isoetes	5.5	female	0
2000	Alexandrina	1stfence	isoetes	4.1	female	0
2000	Alexandrina	1stfence	isoetes	4.8	female	0
2000	Alexandrina	1stfence	isoetes	5.3	female	0
2000	Alexandrina	1stfence	isoetes	5.3	female	1
2000	Alexandrina	1stfence	isoetes	3	female	0
2000	Alexandrina	1stfence	isoetes	5.3	female	0
2000	Alexandrina	1stfence	isoetes	5.5	female	0
2000	Alexandrina	1stfence	isoetes	5.9	female	0
2000	Alexandrina	1stfence	isoetes	4	male	0
2000	Alexandrina	1stfence	isoetes	5.2	female	0
2000	Alexandrina	1stfence	isoetes	3.6	female	0
